MAE,MAPE,MSE,RMSE,baseline_MAE_mean,baseline_MAE_std,baseline_MAPE_mean,baseline_MAPE_std,baseline_MSE_mean,baseline_MSE_std,baseline_RMSE_mean,baseline_RMSE_std,baseline_runs,dataset,enhance_activation,epochs,final_loss,initial_loss,l2,learning_rate,map_activation,method,n_enhance,n_map,n_sequences,n_train,seed,smooth_l1_delta,split_id,timestamp,train_length
0.018248546771136954,0.005483276923214672,0.0016579861740977446,0.03672469213602443,0.03812914022135024,0.0001248282913320651,0.010959899403132547,5.269656608867943e-05,0.0025684257404301513,3.924155441459941e-05,0.049057764211566504,0.00032653874707726547,5.0,Lab,sigmoid,20000,0.0004963926128979153,0.45055315421682185,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,1,1.0,3,2026-05-24T19:53:00,60
0.02004095368954719,0.006048813645695748,0.0019730969033595874,0.04129472744559419,0.03812914022135024,0.0001248282913320651,0.010959899403132547,5.269656608867943e-05,0.0025684257404301513,3.924155441459941e-05,0.049057764211566504,0.00032653874707726547,5.0,Lab,sigmoid,20000,0.0004954410524379061,0.45055315421682185,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,2,1.0,3,2026-05-24T19:53:00,60
0.019486539471961693,0.005805508888563107,0.0012776223480984957,0.034290738189143584,0.03812914022135024,0.0001248282913320651,0.010959899403132547,5.269656608867943e-05,0.0025684257404301513,3.924155441459941e-05,0.049057764211566504,0.00032653874707726547,5.0,Lab,sigmoid,20000,0.0004754993111298783,0.45055315421682185,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,3,1.0,3,2026-05-24T19:53:00,60
0.030252684191254098,0.009167341027204318,0.004132693822456511,0.05944263361248816,0.03812914022135024,0.0001248282913320651,0.010959899403132547,5.269656608867943e-05,0.0025684257404301513,3.924155441459941e-05,0.049057764211566504,0.00032653874707726547,5.0,Lab,sigmoid,20000,0.0004751558966571542,0.45055315421682185,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,4,1.0,3,2026-05-24T19:53:00,60
0.02009681994028892,0.005887880462257434,0.0011872805488953723,0.033285607465496456,0.03812914022135024,0.0001248282913320651,0.010959899403132547,5.269656608867943e-05,0.0025684257404301513,3.924155441459941e-05,0.049057764211566504,0.00032653874707726547,5.0,Lab,sigmoid,20000,0.004807494999374917,0.45055315421682185,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,5,1.0,3,2026-05-24T19:53:00,60
0.0252439748561545,0.007579319244786158,0.002403140222079765,0.046418550641626324,0.03582612153688704,0.0010386624216015537,0.010235633292897017,0.0003109352858321353,0.0021660842067355987,0.00010902784568271614,0.045004172988775716,0.0011823608930360485,5.0,Lab,sigmoid,20000,0.0006240550152088755,0.45015418095664655,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,1,1.0,4,2026-05-24T19:53:00,60
0.021072910934135106,0.006345433881466081,0.0019109751323938301,0.0421923046240421,0.03582612153688704,0.0010386624216015537,0.010235633292897017,0.0003109352858321353,0.0021660842067355987,0.00010902784568271614,0.045004172988775716,0.0011823608930360485,5.0,Lab,sigmoid,20000,0.0006169312072762381,0.45015418095664655,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,2,1.0,4,2026-05-24T19:53:00,60
0.021630112603677008,0.006533966900932287,0.0020758724731417895,0.04398887552201773,0.03582612153688704,0.0010386624216015537,0.010235633292897017,0.0003109352858321353,0.0021660842067355987,0.00010902784568271614,0.045004172988775716,0.0011823608930360485,5.0,Lab,sigmoid,20000,0.0006112911072642462,0.45015418095664655,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,3,1.0,4,2026-05-24T19:53:00,60
0.0191455230614853,0.005794930720579276,0.0018656214349997407,0.0414462045835159,0.03582612153688704,0.0010386624216015537,0.010235633292897017,0.0003109352858321353,0.0021660842067355987,0.00010902784568271614,0.045004172988775716,0.0011823608930360485,5.0,Lab,sigmoid,20000,0.0006175395558071267,0.45015418095664655,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,4,1.0,4,2026-05-24T19:53:00,60
0.03442096715295881,0.01040119510851206,0.0041536672274998295,0.0629004529374705,0.03582612153688704,0.0010386624216015537,0.010235633292897017,0.0003109352858321353,0.0021660842067355987,0.00010902784568271614,0.045004172988775716,0.0011823608930360485,5.0,Lab,sigmoid,20000,0.0006040644211593177,0.45015418095664655,0.001,0.01,tanh,SAGD-BLS,100,100,20.0,30,5,1.0,4,2026-05-24T19:53:00,60
